nilai_hujan_max,tempoh_hujan,tempoh_ulang,latitude,longitude
62,0.5,8,3.1723,101.6941
62,0.5,8,3.1733,101.6941
62,0.5,8,3.1711,101.6936
62,0.5,8,3.1623,101.7
62,0.5,8,3.1566,101.6986
62,0.5,8,3.1497,101.6981
48,2,NORMAL,3.173,101.715
67.5,0.5,14,3.1656,101.7139
67.5,0.5,14,3.1763,101.6914
67.5,0.5,14,3.1733,101.694
67.5,0.5,14,3.1923,101.6909
48,2,NORMAL,3.173,101.715
64.5,0.25,85,3.1413,101.7367
48,2,NORMAL,3.1488,101.7002
64.5,0.25,85,3.1793,101.6523
64.5,0.25,85,3.1793,101.6523
