nilai_hujan_max,tempoh_hujan,tempoh_ulang,kedalaman_banjir,distance
46,3,2,0.5,5164.485849
51,3,2,1.2,2408.879184
43,3,2,0.6,711.1652543
145,4,33,0.3,2675.403708
41,3,2,0.2,895.487937
76.5,1,10,0.3,4334.555714
50.5,3,2,0.9,1715.167909
76.5,1,10,0.3,4731.564145
41,3,2,0.2,3538.933056
55.5,3,2,1,3121.865693
74.5,3,2,0.3,1851.770414
51,3,2,1.2,3179.862615
66.5,3,2,0.5,3280.517503
51,3,2,1.5,5484.598518
145,4,33,0.3,423.6767332
66.5,3,2,0.3,4759.583997
74.5,3,2,0.3,2577.797851
51,3,2,1.2,1652.926016
42,3,2,0.2,1250.844503
51,3,2,1.2,3508.815803
50.5,3,2,0.9,1555.483645
84.5,3,3,0.5,2517.642395
46,3,2,0.5,4278.160497
36,3,2,0.6,1411.728271
66.5,3,2,0.8,7385.18354
92,2,5,0.5,6466.972589
66.5,3,2,0.5,2421.643122
41,3,2,0.2,1267.197424
60,1,2,0.3,7573.237764
74.5,3,2,0.3,3146.066029
66.5,3,2,0.8,1608.392971
39.5,1,2,0.1,5835.722565
64,3,2,0.2,1296.983184
8,3,2,0.3,2173.913077
145,4,33,0.3,4631.946182
43,3,2,0.6,2413.327941
66.5,3,2,0.5,9067.866471
46,3,2,0.5,3480.460806
66.5,3,2,0.8,7885.113618
84.5,3,3,0.5,1779.056717
10,2,2,0.3,5484.017725
10,2,2,0.3,5202.075489
41,3,2,0.2,2838.375821
66.5,3,2,0.5,5799.556024
66.5,3,2,0.8,2982.978734
